,LAUS Code,FIPS_code_state,FIPS_code_county,County Name/State Abbreviation,Period,Labor_force,Employed,Unemployed,Unemployment_rate%,County,State,Preliminary,Labor_force_NA,Employed_NA,Unemployed_NA,Unemployment_rate%_NA,fips
40419,CN3403500000000,34,035,"Somerset County, NJ",Sep-20,161041.0,152789.0,8252.0,5.1,Somerset County,NJ,False,False,False,False,False,34035
40420,CN3403700000000,34,037,"Sussex County, NJ",Sep-20,69771.0,65815.0,3956.0,5.7,Sussex County,NJ,False,False,False,False,False,34037
40421,CN3403900000000,34,039,"Union County, NJ",Sep-20,262369.0,244510.0,17859.0,6.8,Union County,NJ,False,False,False,False,False,34039
40422,CN3404100000000,34,041,"Warren County, NJ",Sep-20,54079.0,51288.0,2791.0,5.2,Warren County,NJ,False,False,False,False,False,34041
40423,CN3500100000000,35,001,"Bernalillo County, NM",Sep-20,338079.0,306478.0,31601.0,9.3,Bernalillo County,NM,False,False,False,False,False,35001
40424,CN3500300000000,35,003,"Catron County, NM",Sep-20,1061.0,974.0,87.0,8.2,Catron County,NM,False,False,False,False,False,35003
40425,CN3500500000000,35,005,"Chaves County, NM",Sep-20,27161.0,24400.0,2761.0,10.2,Chaves County,NM,False,False,False,False,False,35005
40426,CN3500600000000,35,006,"Cibola County, NM",Sep-20,8949.0,7971.0,978.0,10.9,Cibola County,NM,False,False,False,False,False,35006
40427,CN3500700000000,35,007,"Colfax County, NM",Sep-20,5170.0,4756.0,414.0,8.0,Colfax County,NM,False,False,False,False,False,35007
40428,CN3500900000000,35,009,"Curry County, NM",Sep-20,20961.0,19561.0,1400.0,6.7,Curry County,NM,False,False,False,False,False,35009
40429,CN3501100000000,35,011,"De Baca County, NM",Sep-20,686.0,649.0,37.0,5.4,De Baca County,NM,False,False,False,False,False,35011
40430,CN3501300000000,35,013,"Dona Ana County, NM",Sep-20,94178.0,85498.0,8680.0,9.2,Dona Ana County,NM,False,False,False,False,False,35013
40431,CN3501500000000,35,015,"Eddy County, NM",Sep-20,35235.0,32165.0,3070.0,8.7,Eddy County,NM,False,False,False,False,False,35015
40432,CN3501700000000,35,017,"Grant County, NM",Sep-20,12223.0,10821.0,1402.0,11.5,Grant County,NM,False,False,False,False,False,35017
40433,CN3501900000000,35,019,"Guadalupe County, NM",Sep-20,1514.0,1387.0,127.0,8.4,Guadalupe County,NM,False,False,False,False,False,35019
40434,CN3502100000000,35,021,"Harding County, NM",Sep-20,273.0,258.0,15.0,5.5,Harding County,NM,False,False,False,False,False,35021
40435,CN3502300000000,35,023,"Hidalgo County, NM",Sep-20,2040.0,1910.0,130.0,6.4,Hidalgo County,NM,False,False,False,False,False,35023
40436,CN3502500000000,35,025,"Lea County, NM",Sep-20,33474.0,28895.0,4579.0,13.7,Lea County,NM,False,False,False,False,False,35025
40437,CN3502700000000,35,027,"Lincoln County, NM",Sep-20,8684.0,7796.0,888.0,10.2,Lincoln County,NM,False,False,False,False,False,35027
40438,CN3502800000000,35,028,"Los Alamos County, NM",Sep-20,8999.0,8604.0,395.0,4.4,Los Alamos County,NM,False,False,False,False,False,35028
40439,CN3502900000000,35,029,"Luna County, NM",Sep-20,10533.0,8860.0,1673.0,15.9,Luna County,NM,False,False,False,False,False,35029
40440,CN3503100000000,35,031,"McKinley County, NM",Sep-20,24417.0,21327.0,3090.0,12.7,McKinley County,NM,False,False,False,False,False,35031
40441,CN3503300000000,35,033,"Mora County, NM",Sep-20,2028.0,1839.0,189.0,9.3,Mora County,NM,False,False,False,False,False,35033
40442,CN3503500000000,35,035,"Otero County, NM",Sep-20,24677.0,22192.0,2485.0,10.1,Otero County,NM,False,False,False,False,False,35035
40443,CN3503700000000,35,037,"Quay County, NM",Sep-20,3060.0,2774.0,286.0,9.3,Quay County,NM,False,False,False,False,False,35037
40444,CN3503900000000,35,039,"Rio Arriba County, NM",Sep-20,16189.0,14622.0,1567.0,9.7,Rio Arriba County,NM,False,False,False,False,False,35039
40445,CN3504100000000,35,041,"Roosevelt County, NM",Sep-20,7740.0,7165.0,575.0,7.4,Roosevelt County,NM,False,False,False,False,False,35041
40446,CN3504300000000,35,043,"Sandoval County, NM",Sep-20,67320.0,60542.0,6778.0,10.1,Sandoval County,NM,False,False,False,False,False,35043
40447,CN3504500000000,35,045,"San Juan County, NM",Sep-20,51382.0,45271.0,6111.0,11.9,San Juan County,NM,False,False,False,False,False,35045
40448,CN3504700000000,35,047,"San Miguel County, NM",Sep-20,10625.0,9638.0,987.0,9.3,San Miguel County,NM,False,False,False,False,False,35047
40449,CN3504900000000,35,049,"Santa Fe County, NM",Sep-20,72225.0,65238.0,6987.0,9.7,Santa Fe County,NM,False,False,False,False,False,35049
40450,CN3505100000000,35,051,"Sierra County, NM",Sep-20,3773.0,3327.0,446.0,11.8,Sierra County,NM,False,False,False,False,False,35051
40451,CN3505300000000,35,053,"Socorro County, NM",Sep-20,6111.0,5639.0,472.0,7.7,Socorro County,NM,False,False,False,False,False,35053
40452,CN3505500000000,35,055,"Taos County, NM",Sep-20,15804.0,13743.0,2061.0,13.0,Taos County,NM,False,False,False,False,False,35055
40453,CN3505700000000,35,057,"Torrance County, NM",Sep-20,5569.0,4939.0,630.0,11.3,Torrance County,NM,False,False,False,False,False,35057
40454,CN3505900000000,35,059,"Union County, NM",Sep-20,1616.0,1517.0,99.0,6.1,Union County,NM,False,False,False,False,False,35059
40455,CN3506100000000,35,061,"Valencia County, NM",Sep-20,30782.0,27847.0,2935.0,9.5,Valencia County,NM,False,False,False,False,False,35061
40456,CN3600100000000,36,001,"Albany County, NY",Sep-20,153491.0,144836.0,8655.0,5.6,Albany County,NY,False,False,False,False,False,36001
40457,CN3600300000000,36,003,"Allegany County, NY",Sep-20,18781.0,17808.0,973.0,5.2,Allegany County,NY,False,False,False,False,False,36003
40458,CN3600500000000,36,005,"Bronx County, NY",Sep-20,588448.0,478869.0,109579.0,18.6,Bronx County,NY,False,False,False,False,False,36005
40459,CN3600700000000,36,007,"Broome County, NY",Sep-20,82799.0,77981.0,4818.0,5.8,Broome County,NY,False,False,False,False,False,36007
40460,CN3600900000000,36,009,"Cattaraugus County, NY",Sep-20,32826.0,30917.0,1909.0,5.8,Cattaraugus County,NY,False,False,False,False,False,36009
40461,CN3601100000000,36,011,"Cayuga County, NY",Sep-20,35256.0,33397.0,1859.0,5.3,Cayuga County,NY,False,False,False,False,False,36011
40462,CN3601300000000,36,013,"Chautauqua County, NY",Sep-20,51674.0,48482.0,3192.0,6.2,Chautauqua County,NY,False,False,False,False,False,36013
40463,CN3601500000000,36,015,"Chemung County, NY",Sep-20,35737.0,33649.0,2088.0,5.8,Chemung County,NY,False,False,False,False,False,36015
40464,CN3601700000000,36,017,"Chenango County, NY",Sep-20,21662.0,20682.0,980.0,4.5,Chenango County,NY,False,False,False,False,False,36017
40465,CN3601900000000,36,019,"Clinton County, NY",Sep-20,36331.0,34580.0,1751.0,4.8,Clinton County,NY,False,False,False,False,False,36019
40466,CN3602100000000,36,021,"Columbia County, NY",Sep-20,30475.0,29128.0,1347.0,4.4,Columbia County,NY,False,False,False,False,False,36021
40467,CN3602300000000,36,023,"Cortland County, NY",Sep-20,22487.0,21387.0,1100.0,4.9,Cortland County,NY,False,False,False,False,False,36023
40468,CN3602500000000,36,025,"Delaware County, NY",Sep-20,18753.0,17849.0,904.0,4.8,Delaware County,NY,False,False,False,False,False,36025
40469,CN3602700000000,36,027,"Dutchess County, NY",Sep-20,139113.0,131172.0,7941.0,5.7,Dutchess County,NY,False,False,False,False,False,36027
40470,CN3602900000000,36,029,"Erie County, NY",Sep-20,435985.0,407206.0,28779.0,6.6,Erie County,NY,False,False,False,False,False,36029
40471,CN3603100000000,36,031,"Essex County, NY",Sep-20,16439.0,15679.0,760.0,4.6,Essex County,NY,False,False,False,False,False,36031
40472,CN3603300000000,36,033,"Franklin County, NY",Sep-20,19541.0,18562.0,979.0,5.0,Franklin County,NY,False,False,False,False,False,36033
40473,CN3603500000000,36,035,"Fulton County, NY",Sep-20,21332.0,19993.0,1339.0,6.3,Fulton County,NY,False,False,False,False,False,36035
40474,CN3603700000000,36,037,"Genesee County, NY",Sep-20,28852.0,27490.0,1362.0,4.7,Genesee County,NY,False,False,False,False,False,36037
40475,CN3603900000000,36,039,"Greene County, NY",Sep-20,20304.0,19100.0,1204.0,5.9,Greene County,NY,False,False,False,False,False,36039
40476,CN3604100000000,36,041,"Hamilton County, NY",Sep-20,2267.0,2176.0,91.0,4.0,Hamilton County,NY,False,False,False,False,False,36041
40477,CN3604300000000,36,043,"Herkimer County, NY",Sep-20,26902.0,25519.0,1383.0,5.1,Herkimer County,NY,False,False,False,False,False,36043
40478,CN3604500000000,36,045,"Jefferson County, NY",Sep-20,41872.0,39631.0,2241.0,5.4,Jefferson County,NY,False,False,False,False,False,36045
40479,CN3604700000000,36,047,"Kings County, NY",Sep-20,1131333.0,973244.0,158089.0,14.0,Kings County,NY,False,False,False,False,False,36047
40480,CN3604900000000,36,049,"Lewis County, NY",Sep-20,11252.0,10764.0,488.0,4.3,Lewis County,NY,False,False,False,False,False,36049
40481,CN3605100000000,36,051,"Livingston County, NY",Sep-20,29133.0,27808.0,1325.0,4.5,Livingston County,NY,False,False,False,False,False,36051
40482,CN3605300000000,36,053,"Madison County, NY",Sep-20,31054.0,29532.0,1522.0,4.9,Madison County,NY,False,False,False,False,False,36053
40483,CN3605500000000,36,055,"Monroe County, NY",Sep-20,348576.0,325629.0,22947.0,6.6,Monroe County,NY,False,False,False,False,False,36055
40484,CN3605700000000,36,057,"Montgomery County, NY",Sep-20,21137.0,19740.0,1397.0,6.6,Montgomery County,NY,False,False,False,False,False,36057
40485,CN3605900000000,36,059,"Nassau County, NY",Sep-20,690082.0,645162.0,44920.0,6.5,Nassau County,NY,False,False,False,False,False,36059
40486,CN3606100000000,36,061,"New York County, NY",Sep-20,835234.0,744858.0,90376.0,10.8,New York County,NY,False,False,False,False,False,36061
40487,CN3606300000000,36,063,"Niagara County, NY",Sep-20,96836.0,90546.0,6290.0,6.5,Niagara County,NY,False,False,False,False,False,36063
40488,CN3606500000000,36,065,"Oneida County, NY",Sep-20,98615.0,92920.0,5695.0,5.8,Oneida County,NY,False,False,False,False,False,36065
40489,CN3606700000000,36,067,"Onondaga County, NY",Sep-20,212351.0,199148.0,13203.0,6.2,Onondaga County,NY,False,False,False,False,False,36067
40490,CN3606900000000,36,069,"Ontario County, NY",Sep-20,52727.0,50164.0,2563.0,4.9,Ontario County,NY,False,False,False,False,False,36069
40491,CN3607100000000,36,071,"Orange County, NY",Sep-20,177421.0,166201.0,11220.0,6.3,Orange County,NY,False,False,False,False,False,36071
40492,CN3607300000000,36,073,"Orleans County, NY",Sep-20,16767.0,15852.0,915.0,5.5,Orleans County,NY,False,False,False,False,False,36073
40493,CN3607500000000,36,075,"Oswego County, NY",Sep-20,50081.0,47124.0,2957.0,5.9,Oswego County,NY,False,False,False,False,False,36075
40494,CN3607700000000,36,077,"Otsego County, NY",Sep-20,26207.0,24922.0,1285.0,4.9,Otsego County,NY,False,False,False,False,False,36077
40495,CN3607900000000,36,079,"Putnam County, NY",Sep-20,49287.0,46569.0,2718.0,5.5,Putnam County,NY,False,False,False,False,False,36079
40496,CN3608100000000,36,081,"Queens County, NY",Sep-20,1079218.0,931346.0,147872.0,13.7,Queens County,NY,False,False,False,False,False,36081
40497,CN3608300000000,36,083,"Rensselaer County, NY",Sep-20,78564.0,74521.0,4043.0,5.1,Rensselaer County,NY,False,False,False,False,False,36083
40498,CN3608500000000,36,085,"Richmond County, NY",Sep-20,204168.0,180794.0,23374.0,11.4,Richmond County,NY,False,False,False,False,False,36085
40499,CN3608700000000,36,087,"Rockland County, NY",Sep-20,149220.0,139691.0,9529.0,6.4,Rockland County,NY,False,False,False,False,False,36087
40500,CN3608900000000,36,089,"St. Lawrence County, NY",Sep-20,43390.0,41256.0,2134.0,4.9,St. Lawrence County,NY,False,False,False,False,False,36089
40501,CN3609100000000,36,091,"Saratoga County, NY",Sep-20,115155.0,109759.0,5396.0,4.7,Saratoga County,NY,False,False,False,False,False,36091
40502,CN3609300000000,36,093,"Schenectady County, NY",Sep-20,74606.0,69803.0,4803.0,6.4,Schenectady County,NY,False,False,False,False,False,36093
40503,CN3609500000000,36,095,"Schoharie County, NY",Sep-20,14036.0,13378.0,658.0,4.7,Schoharie County,NY,False,False,False,False,False,36095
40504,CN3609700000000,36,097,"Schuyler County, NY",Sep-20,8111.0,7720.0,391.0,4.8,Schuyler County,NY,False,False,False,False,False,36097
